job_title,company_name,location,salary,avg_salary
Territory Sales Manager - Southeast Phoenix and Tucson,JUUL Labs,"Phoenix, AZ",,0.0
"Director, Machine Learning Data Scientist",KPMG,"Phoenix, AZ 85003 (Central City area)",,0.0
Clinical Performance Analyst Pharmacy,Banner Health,"Phoenix, AZ",,0.0
Software Developer,Net Android,"Chandler, AZ 85224",,0.0
Quantitative Risk Analyst Senior - Modeling Center of Excellence (Bank),USAA,"Phoenix, AZ",,0.0
Sr Operations Manager (Phoenix) - JUMP Bikes OR Scooters,Uber,"Tempe, AZ 85281",,0.0
Director of Bioinformatics,TGen,"Phoenix, AZ",,0.0
Health & Insurance Operations Benefits Specialist - Carrier Relations,BOEING,"Mesa, AZ 85215 (Northeast area)",,0.0
Internship - Data Science (Part-time Fall 2018,Aegon,"Denver, CO","$68,000 - $100,000 a year (Indeed est.)",84000.0
Data Science Intern,National Renewable Energy Laboratory,"Golden, CO 80401",,0.0
Data Analyst,Edison,"Denver, CO",,0.0
Data Scientist,Verizon,"Denver, CO 80202 (Lodo area)","$106,000 - $156,000 a year (Indeed est.)",131000.0
Data Scientist,Dassault Systèmes,"Broomfield, CO","$87,000 - $128,000 a year (Indeed est.)",107500.0
Data Scientist,Havenly,"Denver, CO","$81,000 - $120,000 a year (Indeed est.)",100500.0
Data Science/Machine Learning Intern - Contingent Worker,Ball Corporation,"Broomfield, CO 80021",,0.0
Data Scientist,Aegon,"Denver, CO","$94,000 - $139,000 a year (Indeed est.)",116500.0
data science instructor,The Adecco Group,"Denver, CO","$113,000 - $167,000 a year (Indeed est.)",140000.0
Data Scientist,"Advanced Energy Industries, Inc","Denver, CO","$105,000 - $155,000 a year (Indeed est.)",130000.0
Data Scientist,Verizon,"Denver, CO 80202 (Lodo area)",,0.0
Data Scientist,"Advanced Energy Industries, Inc","Denver, CO",,0.0
"Research Scientist, Laser and Electro-Optical Remote Sensing",LOCKHEED MARTIN CORPORATION,"Louisville, CO 80027",,0.0
Data Scientist,Aegon,"Denver, CO",,0.0
Internship - Data Science (Summer 2019,Aegon,"Denver, CO",,0.0
